"Triebzug-
nummer",Abnahme,Umbauten,"Außerbetrieb-
 setzung
Ausmusterung",Verschrottung oder Verbleib,"Bemerkungen und
besondere Vorkommnisse"
Tz 5511,22. April 2001,"im Jahr 2009/10 nachträglich mit DSB-Paket ausgerüstet,
 im Juli 2015 Umbau in Halle-Ammendorf (u. a. Kinderabteilausbau und Fensterbandsanierung)",23. Dezember 2016,kompletter Triebzug zwischen 13. und 15. April 2021 in Opladen zerlegt,
Tz 5512,22. April 2001,,7. Juli 2010,kompletter Triebzug zwischen 19. und 22. Januar 2021 in Opladen zerlegt,
Tz 5513,3. Mai 2001,"im Reaktivierungsprogramm (Revision ausgeführt 10. Februar 2012). Neigetechnik wurde 2012 in Krefeld ausgebaut, keine EBA-Zulassung nach Entfernung der Neigetechnik",4. Februar 2016,kompletter Triebzug im September 2016 in Espenhain zerlegt,
Tz 5514,22. April 2001,"im Jahr 2009/10 nachträglich mit DSB-Paket ausgerüstet,
 im Mai 2015 Umbau in Halle-Ammendorf (u. a. Kinderabteilausbau und Fensterbandsanierung)",5. Oktober 2017,kompletter Triebzug zwischen 12. und 17. November 2020 in Opladen zerlegt,
Tz 5515,31. Mai 2001,"im Reaktivierungsprogramm (Revision ausgeführt 25. April 2012). Neigetechnik wurde 2012 in Krefeld ausgebaut, keine EBA-Zulassung nach Entfernung der Neigetechnik",4. Februar 2016,kompletter Triebzug zwischen 25. und 26. Januar 2021 in Opladen zerlegt,
Tz 5516,22. April 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
Wagen 605 101 anstelle von 605 116;
Im September 2012 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",23. Dezember 2016,"Verkauf an DB Museum Nürnberg im September 2021
Überführung von Mukran nach Koblenz am 3. und 4. November 2021",
Tz 5517,3. Mai 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im August 2012 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",12. November 2017,Übernahme durch DB AG im November 2018 Erprobungszug advanced TrainLab,Am 8. November 2017 fuhr Triebzug 5517 als Sonderfahrt (ICE 2599 und ICE 2588) zwischen Hamburg und Puttgarden. Das war der offiziell letzte Einsatz im Personenverkehr dieser Baureihe im Netz der DB. Am 11. Januar 2018 fuhr der Zug eigenständig nach Mukran. Ab November/Dezember 2018: Einsatz als Erprobungsträger „advanced TrainLab“. Unfallte bei einer Fahrt gegen einen Prellbock in Berlin-Nikolassee am 18. November 2020.
Tz 5518,22. April 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im März 2015 Umbau in Halle-Ammendorf (u. a. Kinderabteilausbau und Fensterbandsanierung)",23. Dezember 2016,kompletter Triebzug zerlegt zwischen 4. und 15. Oktober 2021 in Opladen,"Am 1. Dezember 2010 prallte auf der Bahnstrecke Lübeck–Puttgarden bei Heringsdorf (Ostholstein) Triebzug 5518 auf einem Bahnübergang mit einem Lkw zusammen. Der Lkw-Fahrer starb, der Triebfahrzeugführer wurde verletzt; die etwa 70 Fahrgäste blieben unverletzt. Wurde am 25. August 2021 in Mukran abgeholt und der Verschrottung in Opladen zugeführt."
Tz 5519,22. April 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im Juli 2011 und Dezember 2016 jeweils Umbau in Berlin (2011 Kinderabteilausbau und 2016 Fensterbandsanierung)",5. Oktober 2017,Übernahme durch DB AG im November 2018 Erprobungszug advanced TrainLab,
Tz 5520,6. Juni 2001,"war seit 2007 für den Dänemark-Verkehr zugelassen,
im November 2012 Umbau in Berlin (u. a. Kinderabteilausbau und Fensterbandsanierung)",4. Februar 2016 (Feuchtigkeitsschäden),kompletter Triebzug im Frühjahr 2017 in Espenhain zerlegt,
