"Triebzugnummer
Namensgebung","Indienststellung
Redesign
(Aktueller Status)","Auslands-
zulassungen
 und Besonderheiten",Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
"Tz 1184g
Kaiserslautern
(seit 12. September 2006)","12. September 2006
14. August 2014
(aktiv)","Österreich (inkl. ETCS)
Schweiz-Ausstattung inklusive zusätzliche Stromabnehmer beim Redesign entfernt","gebildet aus umbezeichneten Endwagen vom Tz 1584 und Mittelwagen vom Tz 1124;
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8"
"Tz 1151g
Elsterwerda
(seit 19. Juni 2011)",8. Dezember 2004 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse","Anlässlich einer Presseveranstaltung am 18. April 2011 in Dresden wurde dieser Triebzug mit dem Namen Görlitz beschriftet, da der Triebzug 235 nicht zur Verfügung stand."
"Tz 1152g
Travemünde
(seit 13. Dezember 2008)",8. Dezember 2004 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",
"Tz 1153g
Ilmenau
(seit 1. September 2007)",23. März 2006 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1154g
Sonneberg
(seit 27. September 2008)",8. Dezember 2004 (aktiv),Österreich (inkl. ETCS),"Wagen 411 262 für Wagen 411 254;
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger in Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",Prellbocküberfahrt und Bahnsteigauffahrt am 17. Februar 2017 in Frankfurt-Griesheim Der Trafowagen 411 554 wurde dabei schwer beschädigt. Der Triebzug ist mittlerweile wieder im Einsatz.
"Tz 1155
Mühlhausen/Thüringen
(seit 5. September 2015)",8. Dezember 2004 (aktiv),Österreich (inkl. ETCS),"Wagen 411 071 für Wagen 411 055;
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8","Prellbockauffahrt am 29. Dezember 2010 in Leipzig;
Dieser Triebzug kollidierte infolge des Sturms Mortimer am 30. September 2019 auf der Fahrt als ICE 299 bei Fallersleben mit einem Baum. Der Triebfahrzeugführer wurde leicht verletzt, der Trafowagen 411 071 wurde im Bereich der Frontscheibe und des Führerstandes beschädigt."
"Tz 1156g
Waren (Müritz)
(seit 20. Mai 2006)",8. Dezember 2004 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1157g
Innsbruck
(seit 12. Dezember 2009)",8. Dezember 2004 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1158
 Falkenberg/Elster
(seit 15. August 2009)",2. Februar 2005 (aktiv),Österreich (inkl. ETCS),"Umbauprototyp für ETCS in Österreich
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse","Am 4. September 2006 kollidierte der Triebzug 1158 als ICE 1616 auf der Berlin-Hamburger Bahn mit einem Baum. Der Trafowagen 411 558 wurde dabei schwer beschädigt. Bis in das Jahr 2008 verkehrte dieser Triebzug daher mit dem Trafowagen 411 506 des ausgemusterten Triebzugs 1106.
Präsentationszug für das lokale Informations- und Entertainmentportal"
"Tz 1159g
Passau
(seit 28. Februar 2005 – Name von Tz 1106 übernommen)",28. Februar 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1160g
Markt Holzkirchen
(seit 26. Mai 2007)",28. Februar 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8",
"Tz 1161g
Andernach
(seit 17. Oktober 2009)",15. Juni 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1162g
Vaihingen an der Enz
(seit 3. Juli 2010)",15. Juni 2005 (aktiv),Österreich (inkl. ETCS),"Wagen 411 254 für Wagen 411 262;
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1163
Ostseebad Binz
(seit 17. Juni 2011)",29. Juli 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",Risse in der Achse von 411 163-9 machten auf die Achsenprobleme aufmerksam.
"Tz 1164g
Rödental
(seit 13. Oktober 2012)",29. Juli 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1165g
Bad Oeynhausen
(seit 17. Mai 2006)",20. Juni 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1166g
Bingen am Rhein
(seit 24. März 2012)",14. Juli 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1167
Traunstein
(seit 1. August 2010)",20. Juli 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1168
Ellwangen
(seit 29. März 2014)",20. Juli 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1169g
Tutzing
(seit 21. Juli 2010)",25. September 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1170g
Prenzlau
(seit 4. Mai 2013)",17. September 2005 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse","Am 12. Oktober 2019 kam es im zweiten Wagen des Triebzuges 1170, auf der Fahrt als ICE 1744 von Hannover Hbf nach Stralsund Hbf, zwischen Hamburg Hbf und Schwerin Hbf zu einer starken Rauchentwicklung. Bereits während der Fahrt wurde der Wagen durch das Zugpersonal geräumt; der Zug wurde in Schwerin Hbf komplett evakuiert. Als Ursache der Rauchentwicklung gilt eine defekte, vollständig überhitzte Antriebseinrichtung im Bereich der Drehgestelle."
"Tz 1171g
Oschatz
(seit 30. März 2006)",17. März 2006 (aktiv),Österreich (inkl. ETCS),"Wagen 411 055 für Wagen 411 071
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger in Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse","Am 18. Juni 2011 entgleiste der Triebzug 1171 als ICE 1207 auf der Fahrt von Berlin nach Innsbruck zwischen Hochzirl und Kranebitten, nachdem auf der Mittenwaldbahn im Bereich einer Lawinengalerie eine Mure abgegangen war, welche die ersten beiden Wagen des Zuges erfasst hatte. Keiner der 25 Fahrgäste wurde ernsthaft verletzt."
"Tz 1172g
Bamberg
(seit November 2007 – Name von Tz 1114 übernommen)",30. September 2005 (aktiv),Österreich (inkl. ETCS),"Wagen 411 592 für Wagen 411 572;
Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1173g
Halle (Saale)
(seit Oktober 2006 – Name von Tz 1116 übernommen)",3. Februar 2006 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse","Am 9. Dezember 2015 wurde der Triebzug 1173 Halle (Saale) zur offiziellen Eröffnungsfahrt der Schnellfahrstrecke Erfurt–Leipzig/Halle eingesetzt.
Der Tz 1173 fuhr am 23. Mai 2023 als erster ICE über die Schwarzwaldbahn von Hamburg nach Konstanz."
"Tz 1174
Hansestadt Warburg
(seit 28. Juni 2014)",3. Februar 2006 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1175
Villingen-Schwenningen
(seit 15. September 2012)",10. März 2006 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1176
Coburg
(seit Oktober 2006 – Name von Tz 1115 übernommen)",10. März 2006 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger in Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",
"Tz 1177g
Rathenow
(seit 15. Juli 2006)",17. März 2006 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger in Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",Am Abend des 24. Dezembers 2018 stieß der ICE-3-Triebzug 306 am ICE-Werk München bei etwa 25 km/h mit dem ICE-T-Triebzug 1177 zusammen. Der Trafowagen 411 077 wurde dabei erheblich beschädigt. Seit Mitte Oktober 2019 ist der Triebzug wieder im Einsatz.
"Tz 1178g
Ostseebad Warnemünde
(seit 12. Juni 2007)",3. März 2006 (aktiv),Österreich (inkl. ETCS),"Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit Fahrradträger im Wagen Baureihe 411.8
Innenraumdesign erneuert mit grauen Sitzbezügen in der 2. Klasse",,
