"Triebzugnummer
Name",zugeordnete Triebköpfe,Aktuelle Konfiguration,"Abnahme
erstes Redesign
zweites Redesign
Ausmusterung","Auslands­zulassungen
ETCS",Umbauten oder Umrüstungen,"Bemerkung0
Unfälle"
"Tz 176
Bremen
(seit 12.12.2002)","401 076
401 576","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2024)","18.05.1992
19.01.2007
13.03.2024","Schweiz (1992 bis 2020)
ETCS Baseline 2.2.2 (2006 bis 2020)
ETCS Baseline 3.4.0 (seit 2020)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Um 1995 wurde in den Wagen 802 406 und 452 (damals Triebzug 76) neuartige Klimaanlagen, die Luft als Prozessgas verwendeten und damit ohne Kältemittel auskamen, erprobt. Diese Anlagen wurden schließlich in den ICE 3 serienmäßig eingebaut.
Am 12. April 2004 stieß der 401 076 bei einer Rangierfahrt (ohne Fahrgäste) im Hauptbahnhof Kiel mit einem Zug der Nord-Ostsee-Bahn zusammen."
"Tz 177
Basel
(von 18.06.2004 bis 20.06.2016)
Rendsburg
(seit 21.06.2016)","401 077
401 577","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006 bis 2025)","20.05.1992
22.12.2006
04.04.2025","Schweiz (1992 bis 2020)
ETCS Baseline 2.2.2 (2006 bis 2020)
ETCS Baseline 3.4.0 (seit 2020)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Beide Triebköpfe tragen die Schriftzüge „25 Jahre ICE, in Kooperation mit SBB CFF FFS“."
"Tz 178
Bremerhaven
(seit 13.11.2003)","401 078
401 578","LDV-Kurzzug (9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2021)","17.08.1992
04.04.2008
15.10.2021","Schweiz (1992 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 179
Chur
(von 12.12.2015 bis 13.12.2015)","401 079
401 579","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2020)","20.05.1992
03.08.2007
13.11.2020","Schweiz (1992 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Der Triebzug 179 wurde am 12. Dezember 2015 mit „Chur“ beschriftet in die Schweiz gefahren, getauft wurde dann jedoch Triebzug 186."
"Tz 180
Castrop-Rauxel
(von 04.11.2004 bis 07.09.2007)
(seit 13.06.2008)","401 080
401 580","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2020)","24.06.1992
07.09.2007
18.12.2020","Schweiz (1992 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2022)",
"Tz 181
Interlaken
(seit 07.12.2007)","401 081
401 581","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2024)","15.09.1992
04.05.2007
06.02.2024","Schweiz (1992 bis 2020)
ETCS Baseline 2.2.2 (2006 bis 2020)
ETCS Baseline 3.4.0 (seit 2020)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Beide Triebköpfe trugen die Schriftzüge „25 Jahre ICE, in Kooperation mit SBB CFF FFS“."
"Tz 182
Rüdesheim am Rhein
(seit 08.05.2008)","401 082
401 582","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2022)","28.08.1992
08.05.2008
14.01.2022","Schweiz (1992 bis 2020)
ETCS Baseline 2.2.2 (2006 bis 2020)
ETCS Baseline 3.4.0 (seit 2020)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 183
Timmendorfer Strand
(seit 16.11.2007)","401 083
401 583","LDV-Kurzzug
(9 Mittelwagen)
Kurzzug
(9 Mittelwagen, von Dezember 2021 bis November 2022)
Langzug
(12 Mittelwagen, von 2006 bis 2021)","15.09.1992
05.05.2006
16.11.2022","Schweiz (1992 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 184
Bruchsal
(seit 23.07.2003)","401 084
401 584","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006 bis 2023)","16.11.1992
09.06.2006
10.08.2023","Schweiz (1992 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","→ Hauptartikel: ICE Train North America Tour
Im Juni 1993 wurde ein achtteiliger ICE-1-Triebzug von Bremerhaven aus in die Vereinigten Staaten verschifft. Die achtteilige Garnitur umfasste unter anderem die Triebköpfe 401 084 und 584, drei Mittel- und einen Servicewagen der zweiten Klasse, einen Speisewagen sowie einen Wagen der ersten Klasse. Technische Anpassungen waren seit April 1993 durch die Industrie vorgenommen worden, insbesondere für das Bahnstromsystem des Northeast Corridor (11 kV mit 25 Hz) und an den Radprofilen. Die Garnitur unternahm Präsentationsfahrten zu 25 Großstädten in den Vereinigten Staaten und Kanada und wurde ab dem 4. Oktober für zwei Monate auf der Linie New York City – Washington, D.C. im Plandienst als Metroliner eingesetzt, auf anderen Strecken wurde er von Dieselloks gezogen."
"Tz 185
Freilassing
(seit 18.07.2008)","401 085g
401 585g","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2022)","16.11.1992
18.07.2008
13.07.2022","Schweiz (1992 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2022)",
"Tz 186
Chur
(seit 13.12.2015)","401 086
401 586","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2021)","16.10.1992
12.10.2007
23.04.2021","Schweiz (1992 bis 2020)
ETCS Baseline 2.2.2 (2006 bis 2020)
ETCS Baseline 3.4.0 (seit 2020)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2022)","30 Jahre ICEZum 30-jährigen Jubiläum wurden beide Triebköpfe in ursprünglicher Farbgebung und mit einem alten DB-Bundesbahn-Logo versehen sowie der Aufschrift „30 Jahre ICE“. Dieser Triebzug ist am 17. August 2022 in Berlin-Grunewald entgleist und wurde dabei beschädigt. Reisende wurden nicht verletzt.
Seit dem 25. März 2023 ist der Triebzug nach Reparatur wieder im planmäßigen Einsatz."
"Tz 187
Fulda
(von 27.11.2002 bis 20.03.2015)
Mühldorf a. Inn
(seit 21.03.2015)","401 087
401 587","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006 bis 2023)","12.02.1993
14.07.2006
08.05.2023","Schweiz (1993 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Der Triebzug entgleiste am 29. November 2017 als ICE 75 zwischen Basel Badischer Bahnhof und Basel SBB mit Speisewagen und Servicewagen. Nach dem Unfall wurde dieser Triebzug aufgelöst und einige Wagen dieses Triebzuges mit den beiden umgebauten Triebköpfen (401 060, 560) für Stromrichtertestfahrten an DB Systemtechnik vermietet. Seit Oktober 2021 befindet sich der Zug mit den Wagen 1–6, 9, 11 und 12 wieder im Planbetrieb. Es fehlt somit das Bordrestaurant. Außerdem ist der Wagen 6 nun ein deklassierter erste-Klasse-Wagen.
Am 8. Oktober 2022 standen die beiden Triebköpfe ohne Mittelwagen im Rangierbereich von Aachen Hbf.
Dieser Triebzug ist seit der LDV wieder mit einem Bordrestaurant unterwegs und der Servicewagen 6 ist der 2. Klasse zugeordnet."
"Tz 188
Hildesheim
(seit 13.06.2008)","401 088
401 588","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2022)","12.02.1993
13.06.2008
22.02.2022","Schweiz (1993 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 189
Castrop-Rauxel
(von 20.12.2007 bis 12.11.2013)","401 089
401 589","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2021)","18.12.1992
20.12.2007
24.06.2021","Schweiz (1992 bis 2020)
ETCS Baseline 2.2.2 (2006 bis 2020)
ETCS Baseline 3.4.0 (seit 2020)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Am 8. November 2007 stellte der auf rund 200 m Länge verkürzte Triebzug 189 während ETCS-Abnahmefahrten im Lötschberg-Basistunnel zwischen Ferden und Lötschen mit 288 km/h einen neuen Geschwindigkeitsrekord für Schienenfahrzeuge in der Schweiz auf. Die Einheit war mit einem modifizierten Stromabnehmer ausgerüstet, wobei in einem der beiden Triebköpfe nur zwei der vier (insgesamt sechs von acht) Fahrmotoren zur Verfügung standen."
"Tz 190
Ludwigshafen am Rhein
(seit 10.02.2004)","401 090
401 590","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2024)","05.03.1993
23.02.2007
25.09.2024","Schweiz (1993 bis 2021)
ETCS Baseline 2.2.2 (2006 bis 2021)
ETCS Baseline 3.4.0 (seit 2021)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
