"Triebzugnummer
Namensgebung","Indienststellung
Redesign
(Aktueller Status)",Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
"Tz 326
Neunkirchen
(seit 10. November 2007)","5. Februar 2001
13. Oktober 2018
nach Brand aufgelöst",Ausstattung mit WLAN-HotSpots (railnet),"Am Morgen des 12. Oktober 2018 brach auf der Schnellfahrstrecke Köln–Rhein/Main bei Dierdorf im Trafowagen 403 626 Feuer aus. Das Ereignis wurde wahrscheinlich durch den Bruch einer Zugstange im Haupttransformator ausgelöst. Die ICE-3-Doppeltraktion war als ICE 511 auf dem Weg nach München. Der Wagen 403 626 brannte völlig aus, der Endwagen 403 526 geriet ebenfalls in Brand. Der ICE wurde auf offener Strecke gestoppt und die 510 Passagiere wurden aus dem Zug evakuiert. Fünf Personen wurden leicht verletzt. Der vordere Zug der Doppeltraktion blieb unbeschädigt. Tz 326 hingegen wurde anschließend abgestellt. Es gilt als erwiesen, dass Trafoöl ausgetreten war und sich entzündet hatte. Die Deutsche Bahn kündigte an, Trafos und Nebenaggregate aller ICE 3 zu prüfen und Trafos auch künftig engmaschiger zu kontrollieren. Bei vier ICE 3 wurden Verunreinigungen des Trafoöls festgestellt, infolge daraus resultierender Maßnahmen fehlten bis zu sechs Triebzüge pro Tag. Per Weisung vom 20. Dezember 2018 dürfen ab 1. Januar 2019 ICE-3-Triebzüge, die noch keine spezielle Überprüfung durchlaufen haben, keine langen Tunnel mehr befahren."
"Tz 327
Siegen
(seit 18. September 2011)","22. Dezember 2000
23. Januar 2018
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 328
Aachen
(seit 3. Juli 2003)","9. April 2001
10. März 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
Tz 329,"21. März 2001
19. Oktober 2018
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 330
Göttingen
(seit 22. Januar 2003)","21. März 2001
10. Februar 2023
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 331
Westerland/Sylt
(seit 20. Februar 2004)","9. April 2001
21. Juni 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 332
Augsburg
(seit 21. November 2002)","23. März 2001
3. Juli 2020
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 333
Esslingen am Neckar
(von 6. Juni 2009 bis 17. Mai 2017)

Goslar
(seit 9. Juni 2017)","24. März 2001
18. Mai 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 334
Offenburg
(seit 22. November 2003)","24. März 2001
20. November 2020
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 335
Konstanz
(seit 19. April 2008)","1. August 2001
20. September 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 336
Ingolstadt
(seit 27. November 2003)","3. August 2001
17. Juli 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",Die Wagen der 1. Klasse wurden im März 2015 versuchsweise mit neuartigen Sitzen ausgestattet. Sie enthalten unter anderem eine Reservierungsanzeige im Bereich der Kopfstützen.
"Tz 337g
Stuttgart
(seit 19. November 2002)","21. August 2001
26. Oktober 2017
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 351
Herford
(seit 17. Mai 2006)","15. Dezember 2005
10. Mai 2021
nach Brandschäden aufgelöst","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS","Am 21. Dezember 2021 brach im Bereich des Bahnhofs Mannheim-Waldhof ein Brand im Triebzug aus. Zu diesem Zeitpunkt war das Fahrzeug der hintere Teil der Doppeltraktion von ICE 202 auf dem Weg von Basel nach Köln, der Brandherd befand sich im Übergangsbereich zwischen dem zu diesem Zeitpunkt letzten und vorletzten Wagen des Triebzugs. Dieser wurde umgehend evakuiert, zwei Personen wurden leicht verletzt. Die Fahrgäste konnten ihre Fahrt nach etwa zwei Stunden im unbeschädigt gebliebenen vorderen Triebzug fortsetzen. Der Zug stand im Jahr 2022 nach einem Brandschaden abgestellt und vier seiner acht Wagen wurden als Ersatz in den Triebzug 354 eingereiht."
"Tz 352
Mönchengladbach
(seit 29. März 2011)","15. Dezember 2005
29. Oktober 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 353
Neu-Ulm
(seit 6. Juni 2015)","24. November 2005
7. Oktober 2020
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 354
Mittenwald
(seit 26. September 2015)","30. Dezember 2005
1. April 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS
Wagen 403 051 für 403 054","Am 8. September 2022 entgleiste der Triebzug bei einer Rangierfahrt in der Abstellgruppe des Karlsruher Hbf. Es entstand dabei erheblicher Sachschaden am Fahrzeug, Personen wurden nicht verletzt. Die beschädigte Hälfte des Triebzuges wurde mit abgestellten Wagen aus Triebzug 351 getauscht."
"Tz 355
Tuttlingen
(seit 27. Juli 2015)","24. November 2005
15. Januar 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
Tz 356,"13. Januar 2006
31. Mai 2022
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",Am 8. November 2017 kollidierte eine Rangierfahrt in München Hbf mit diesem Triebzug und zerstörte eine Türe an Wagen 403 256. Der Triebzug ist seit dem 08. Dezember 2018 wieder im Einsatz.
"Tz 357
Esslingen am Neckar
(seit 17. Mai 2017)","13. Januar 2006
30. Juli 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 358
St. Ingbert
(seit 10. Mai 2008)","27. Januar 2006
17. September 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 359
Leverkusen
(seit 20. Juni 2009)","27. Januar 2006
25. April 2023
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",Am 6. September 2015 verkehrte ein Sonderzug ICE 2908 mit Flüchtlingen von München nach Dortmund. Er war aus den Triebzügen 311 und 359 gebildet.
"Tz 360
Linz am Rhein
(seit 18. Juni 2011)","10. Februar 2006
2. Juli 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 361
Celle
(seit 29. November 2008)","10. Februar 2006
12. Februar 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
"Tz 362
Schwerte (Ruhr)
(seit 16. September 2011)","24. Februar 2006
12. Juli 2023
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet) sowie lokalem Informations- und Entertainmentportal
Ausstattung mit ETCS",
"Tz 363
Weilheim i. OB
(seit 26. Juni 2017)","24. Februar 2006
9. Dezember 2021
(aktiv)","Ausstattung mit WLAN-HotSpots (railnet)
Ausstattung mit ETCS",
